forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2021-11-17,DAX,1 day,-1.18336787625933,-0.246716839242111,0.0687541297511643,0.384225098744439,1.32087613576166
2021-11-17,DAX,2 day,-1.14929919371794,-0.163711237769616,0.17597835903703,0.515667955843677,1.501255911792
2021-11-17,DAX,5 day,-1.03016456360641,-0.0265211036021551,0.399367239157167,0.82525558191649,1.82889904192074
2021-11-17,DAX,6 day,-1.0961678650944,0.037895185305286,0.514515790610066,0.991136395914846,2.12519944631453
2021-11-17,DAX,7 day,-1.09663014174968,0.153867002674064,0.648009232715818,1.14215146275757,2.39264860718132
2021-11-17,temperature,36 hour,7.07354181665723,8.46084970697367,9.18877168890443,9.91669367083519,11.3040015611516
2021-11-17,temperature,48 hour,7.70423617124517,9.04647769096311,9.75075329847801,10.4550289059929,11.7972704257109
2021-11-17,temperature,60 hour,9.46914675786722,11.1095998516648,11.9703474013881,12.8310949511113,14.471548044909
2021-11-17,temperature,72 hour,8.67065152589995,10.2016943914927,11.0050342736648,11.8083741558369,13.3394170214296
2021-11-17,temperature,84 hour,8.91266270242807,10.6808785950934,11.6086634264598,12.5364482578261,14.3046641504915
2021-11-17,wind,36 hour,13.9325966302688,18.9961353563069,21.1655232116308,23.3349693592457,28.4000678858568
2021-11-17,wind,48 hour,16.6724740508799,21.8122900439228,24.0139304519935,26.2155875632922,31.3558506371657
2021-11-17,wind,60 hour,18.2844874210882,22.9743050941676,24.9830638946166,26.9918255332894,31.6817191818002
2021-11-17,wind,72 hour,14.4020238056835,19.5314755791302,21.72902290114,23.9266213317488,29.0574407579604
2021-11-17,wind,84 hour,12.3767628223791,18.4308281587749,21.0282388755546,23.6260830136475,29.6917212785097
