forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2021-11-03,DAX,1 day,-2.04077693818899,-0.38839125675774,-0.0986281008420548,0.23584970062329,1.23897553527746
2021-11-03,DAX,2 day,-1.84234043266215,-0.696973707564081,-0.0998853899702234,0.414345915621521,1.67571862777593
2021-11-03,DAX,5 day,-1.82686363582827,-0.697453763759346,-0.140707412904348,0.317688918662968,1.7036779454079
2021-11-03,DAX,6 day,-3.6457161770005,-0.639437048476561,-0.0711097734753172,0.347207345495467,1.64560851543328
2021-11-03,DAX,7 day,-3.91010616741318,-0.678990526518302,-0.00924244240120425,0.77672913483117,1.68155179760692
2021-11-03,temperature,36 hour,6.31578327832365,7.63136770881847,8.32165631218293,9.01194491554739,10.3275293460422
2021-11-03,temperature,48 hour,6.24817763140052,7.64982543943644,8.38527159202891,9.12071774462139,10.5223655526573
2021-11-03,temperature,60 hour,7.99191374474882,9.47950938907917,10.26005246628,11.0405955434807,12.5281911878111
2021-11-03,temperature,72 hour,5.04263139276858,6.62238374637901,7.45128155069957,8.28017935502012,9.85993170863055
2021-11-03,temperature,84 hour,8.14333994465985,10.0304614356028,11.0206361656824,12.0108108957619,13.8979323867049
2021-11-03,wind,36 hour,7.70433878537438,14.1583522089217,16.9672211341194,19.7806358311728,26.3534326163648
2021-11-03,wind,48 hour,4.37252942424821,13.0480536543218,17.2791074747132,21.5742100191176,31.6634639334169
2021-11-03,wind,60 hour,8.52981669382555,13.799482635803,16.0681090642331,18.3378919738436,23.6382779019538
2021-11-03,wind,72 hour,5.07548831386652,11.4533901128116,14.3253193717091,17.2124345247007,23.967372551462
2021-11-03,wind,84 hour,8.81011734185327,14.8938916011784,17.5206541860291,20.1495301213473,26.289194633545
